Tipo,Entidad,Agencias_Evaluadoras,Score_Sep2025,Score_Mar2026,Score_Proj_Sep2026,Rating_Consenso_Mar2026,Rating_Consenso_Proj_Sep2026,Categoria_Riesgo_Mar2026,Categoria_Riesgo_Proj_Sep2026,Tendencia_Proyectada,Upgrades_Mar2026,Downgrades_Mar2026
Banco,AGROBANCO,1,9.0,9.0,9.0,B+,B+,Riesgo Moderado (B+ / B),Riesgo Moderado (B+ / B),Estable,0,0
Banco,ALFIN BANCO,2,9.0,9.5,9.75,A-,A-,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Positiva (Mejora),1,0
Seguros,AuguStar Seguros,2,10.0,10.0,10.0,A-,A-,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Estable,0,0
Seguros,AVLA Perú,2,11.0,11.0,11.0,A,A,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Estable,0,0
Banco,BANBIF,2,11.5,11.5,11.5,A+,A+,Riesgo Mínimo (A+),Riesgo Mínimo (A+),Estable,0,0
Banco,BANCO BCI,2,11.0,11.0,11.0,A,A,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Estable,0,0
Banco,BANCO DE CREDITO,3,12.0,12.0,12.0,A+,A+,Riesgo Mínimo (A+),Riesgo Mínimo (A+),Estable,0,0
Banco,BANCO EFECTIVA,3,10.33,10.33,10.33,A-,A-,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Estable,0,0
Banco,BANCO FALABELLA,2,10.0,10.5,10.75,A-,A,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Positiva (Mejora),1,0
Banco,BANCO GNB,2,11.0,11.0,11.0,A,A,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Estable,0,0
Banco,BANCO PICHINCHA,2,10.0,10.0,10.0,A-,A-,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Estable,0,0
Banco,BANCO RIPLEY,2,9.0,9.0,9.0,B+,B+,Riesgo Moderado (B+ / B),Riesgo Moderado (B+ / B),Estable,0,0
Banco,BANCOM,2,9.0,9.0,9.0,B+,B+,Riesgo Moderado (B+ / B),Riesgo Moderado (B+ / B),Estable,0,0
Banco,BANK OF CHINA (PERU),3,11.0,11.33,11.33,A,A,Bajo Riesgo (A / A-),Bajo Riesgo (A / A-),Estable,0,0
