Tipo,Entidad,Apoyo y Asociados Internacionales,Class y Asociados S.A.,JCR Latino America,Microrate,Moodys Local PE Clasificadora de Riesgo,PCR (Pacific Credit Rating)
Banco,AGROBANCO,B+,,,,,
Banco,ALFIN BANCO,,,A- (↑),,,B+
Seguros,AuguStar Seguros,A-,,,,,A-
Seguros,AVLA Perú,,,A,,,A
Banco,BANBIF,,,,,A,A+
Banco,BANCO BCI,A,,,,A,
Banco,BANCO DE CREDITO,A+,,,,A+,A+
Banco,BANCO EFECTIVA,,,A,,A-,A-
Banco,BANCO FALABELLA,A+ (↑),,,,A-,
Banco,BANCO GNB,,,,,A,A
Banco,BANCO PICHINCHA,A-,,,,A-,
Banco,BANCO RIPLEY,,,,,B+,B+
Banco,BANCOM,,,,,B+,B+
Banco,BANK OF CHINA (PERU),A+,,,,A,A
Banco,BBVA,A+,,,,A+,
Banco,BN. SANTANDER CONS.,A,,,,A,
Seguros,BNP Paribas Cardif,,,,,A,A+
Cooperativa de Ahorro y Crédito - Nivel 3,CENTRAL  SOLIDEZ,,,C-,,,
Cooperativa de Ahorro y Crédito - Nivel 3,CENTRAL CIDERURAL,,,C,,,
Seguros,Cesce,,,,,A,A
Seguros,Chubb Perú,,,,,A,A
Banco,CITIBANK DEL PERU,A+,,,,,A+
Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,,,A-,,,A-
Caja Municipal de Ahorro y Crédito,CMAC CUSCO,A- (↑),,A-,,RET (↓),A-
Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,C-,,,D+,,
Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,,,A-,,B+,A-
Caja Municipal de Ahorro y Crédito,CMAC ICA,,,A- (↑),,,A- (↑)
Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,B-,,,,B-,
Caja Municipal de Ahorro y Crédito,CMAC PAITA,C,,,C,,
Caja Municipal de Ahorro y Crédito,CMAC PIURA,,,,B,B,
Caja Municipal de Ahorro y Crédito,CMAC TACNA,,,C,,C,
Caja Municipal de Ahorro y Crédito,CMAC TRUJILLO,B+,,,,B+,
Caja Municipal de Ahorro y Crédito,CMCP LIMA,,,C+,C+,,
Banco,COFIDE,A,,,,A,
Banco,COMPARTAMOS BANCO,A+ (↑),,A,,A-,
Caja Rural de Ahorro y Crédito,CRAC CENCOSUD SCOTIA,A-,,,,A-,
Caja Rural de Ahorro y Crédito,CRAC DEL CENTRO,,,D+,,,D (↓)
Caja Rural de Ahorro y Crédito,CRAC INCASUR,C-,,,,C-,
Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,,,B-,C+,,
Caja Rural de Ahorro y Crédito,CRAC PRYMERA,C,,C,,,
Seguros,Crecer Seguros,,,,,A-,A+ (↑)
Cooperativa de Ahorro y Crédito - Nivel 2 B,EFIDE,,,B,,,
Empresa de Créditos,EMP.CRED.SANTANDER,A,,,,A-,
Empresa de Créditos,EMP.CRED.VIVELA,,,,,,B+
Financiera,FINANC. PROEMPRESA,C,,,,C,
Financiera,FINANCIERA CONFIANZA,A-,,,,A-,
Financiera,FINANCIERA QAPAQ,C+,,,,C,C
Financiera,FINANCIERA SURGIR,A-,,,,A-,
Afianzadora y de Garantías,FOGAPI,,,,,,A
Fondo,FONDO MIVIVIENDA,A,,,,A,
Banco,ICBC PERU BANK S.A.,A+,,,,A,A
Financiera,INFINANCE XP S.A.,A-,,,,A-,
Seguros,Insur,,,,,A,A
Banco,INTERBANK,A+ (↑),,,,A+,
Seguros,Interseguro,,,,,A+,A+
Cooperativa de Ahorro y Crédito - Nivel 2 B,KORI,,,,C+,,
Seguros,La Positiva,A,,,,A,
Seguros,La Positiva Vida,A,,,,A,
Seguros,Liberty Seguros,A,,,,A,
Cooperativa de Ahorro y Crédito - Nivel 3,LOS ANDES COTARUSI,,,B-,,,
Seguros,Mapfre Perú,,,,,A+,A+
Banco,MIBANCO,A,,,,A,
Financiera,MITSUI AUTO FINANCE,A,,,,A-,
Banco,NACION,A,,,,A,
Seguros,Pacífico Seguros,A+,,,,A+,
Seguros,Protecta,,,,,A,A
Seguros,Quálitas,,,,,A-,A-
Seguros,Rímac Seguros,A+,,,,A+,
Cooperativa de Ahorro y Crédito - Nivel 3,SAN CRISTOBAL HUAM,,,,,,C+
Cooperativa de Ahorro y Crédito - Nivel 2 B,SAN ISIDRO,,,C+,,,
Cooperativa de Ahorro y Crédito - Nivel 3,SAN MARTIN DE PORRES,,,B,,,
Cooperativa de Ahorro y Crédito - Nivel 2 A,SAN MIGUEL LTDA,,,C,,,
Banco,SANTANDER PERU,A+,,,,A+,
Banco,SCOTIABANK PERU,A+,,,,A+,
Cooperativa de Ahorro y Crédito - Nivel 3,SN CRISTO DE BAGAZÁN,,,B,,,
Cooperativa de Ahorro y Crédito - Nivel 2 A,STA ISABEL PERUNORTE,,,,C,,
Cooperativa de Ahorro y Crédito - Nivel 3,STA MA MAGDALENA,,,C+,,,
Empresa de Créditos,TOTAL SERVICIOS,,,,,,A-
Seguros,Vivir Seguros,,,A-,,A-,
