Tipo,Entidad,Agencia,Sep2025,Mar2026,Indicator_Mar26,Proj_Sep2026,Indicator_Sep26
Banco,AGROBANCO,Apoyo y Asociados Internacionales,B+,B+,,B+,
Banco,ALFIN BANCO,JCR Latino America,B+,A-,↑,A-,↑
Banco,ALFIN BANCO,PCR (Pacific Credit Rating),B+,B+,,B+,
Seguros,AuguStar Seguros,Apoyo y Asociados Internacionales,A-,A-,,A-,
Seguros,AuguStar Seguros,PCR (Pacific Credit Rating),A-,A-,,A-,
Seguros,AVLA Perú,JCR Latino America,A,A,,A,
Seguros,AVLA Perú,PCR (Pacific Credit Rating),A,A,,A,
Banco,BANBIF,Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Banco,BANBIF,PCR (Pacific Credit Rating),A+,A+,,A+,
Banco,BANCO BCI,Apoyo y Asociados Internacionales,A,A,,A,
Banco,BANCO BCI,Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Banco,BANCO DE CREDITO,Apoyo y Asociados Internacionales,A+,A+,,A+,
Banco,BANCO DE CREDITO,Moodys Local PE Clasificadora de Riesgo,A+,A+,,A+,
Banco,BANCO DE CREDITO,PCR (Pacific Credit Rating),,A+,,A+,
Banco,BANCO EFECTIVA,JCR Latino America,A,A,,A,
Banco,BANCO EFECTIVA,Moodys Local PE Clasificadora de Riesgo,A-,A-,,A-,
Banco,BANCO EFECTIVA,PCR (Pacific Credit Rating),A-,A-,,A-,
Banco,BANCO FALABELLA,Apoyo y Asociados Internacionales,A-,A,↑,A+,↑
Banco,BANCO FALABELLA,Moodys Local PE Clasificadora de Riesgo,A-,A-,,A-,
Banco,BANCO GNB,Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Banco,BANCO GNB,PCR (Pacific Credit Rating),A,A,,A,
Banco,BANCO PICHINCHA,Apoyo y Asociados Internacionales,A-,A-,,A-,
Banco,BANCO PICHINCHA,Moodys Local PE Clasificadora de Riesgo,A-,A-,,A-,
Banco,BANCO RIPLEY,Moodys Local PE Clasificadora de Riesgo,B+,B+,,B+,
Banco,BANCO RIPLEY,PCR (Pacific Credit Rating),B+,B+,,B+,
Banco,BANCOM,Moodys Local PE Clasificadora de Riesgo,B+,B+,,B+,
Banco,BANCOM,PCR (Pacific Credit Rating),B+,B+,,B+,
Banco,BANK OF CHINA (PERU),Apoyo y Asociados Internacionales,,A+,,A+,
Banco,BANK OF CHINA (PERU),Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Banco,BANK OF CHINA (PERU),PCR (Pacific Credit Rating),A,A,,A,
Banco,BBVA,Apoyo y Asociados Internacionales,A+,A+,,A+,
Banco,BBVA,Moodys Local PE Clasificadora de Riesgo,A+,A+,,A+,
Banco,BN. SANTANDER CONS.,Apoyo y Asociados Internacionales,A,A,,A,
Banco,BN. SANTANDER CONS.,Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Seguros,BNP Paribas Cardif,Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Seguros,BNP Paribas Cardif,PCR (Pacific Credit Rating),A+,A+,,A+,
Cooperativa de Ahorro y Crédito - Nivel 3,CENTRAL  SOLIDEZ,JCR Latino America,,C-,,C-,
Cooperativa de Ahorro y Crédito - Nivel 3,CENTRAL CIDERURAL,JCR Latino America,,C,,C,
Seguros,Cesce,Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Seguros,Cesce,PCR (Pacific Credit Rating),A,A,,A,
Seguros,Chubb Perú,Moodys Local PE Clasificadora de Riesgo,A,A,,A,
Seguros,Chubb Perú,PCR (Pacific Credit Rating),A,A,,A,
Banco,CITIBANK DEL PERU,Apoyo y Asociados Internacionales,A+,A+,,A+,
Banco,CITIBANK DEL PERU,PCR (Pacific Credit Rating),A+,A+,,A+,
Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,JCR Latino America,A-,A-,,A-,
Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,PCR (Pacific Credit Rating),A-,A-,,A-,
Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Apoyo y Asociados Internacionales,B+,A-,↑,A-,↑
Caja Municipal de Ahorro y Crédito,CMAC CUSCO,JCR Latino America,A-,A-,,A-,
Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Moodys Local PE Clasificadora de Riesgo,B+,RET,↓,RET,↓
Caja Municipal de Ahorro y Crédito,CMAC CUSCO,PCR (Pacific Credit Rating),,A-,,A-,
